سؤال,شماره دامنه,عنوان دامنه,شماره سؤال,گزینه ۰,گزینه ۱,گزینه ۲,گزینه ۳,اقدام اصلاحی بخش,تشخیص پشت‌صحنه سؤال,تفسیر امتیاز (بخش),تفسیر امتیاز (سؤال),عارضه‌های تشخیصی بخش
قیمت شما برای مشتری چقدر با ارزش و نتیجه‌ای که دریافت می‌کند قابل توجیه است؟,3,طراحی پیشنهاد، قیمت‌گذاری و بسته‌بندی خرید,2,معمولاً قیمت برای مشتری زیاد به نظر می‌رسد و سریع اعتراض می‌کند.,گاهی ارزش را توضیح می‌دهیم، اما بیشتر دفاع از قیمت می‌کنیم.,معمولاً قیمت را کنار نتیجه و ارزش توضیح می‌دهیم.,قیمت‌گذاری با ارزش ادراک‌شده، نتیجه، مقایسه و کاهش ریسک پشتیبانی می‌شود.,بازطراحی پیشنهاد به‌صورت روشن (مشتری دقیقاً بداند چه می‌گیرد)، توجیه قیمت با ارزش/نتیجه/مقایسه/کاهش ریسک، ساده‌سازی پکیج‌ها، افزودن مسیر شروع کم‌ریسک (نمونه/دمو/ضمانت) و ساخت فوریت منطقی به‌جای فشار.,اتصال قیمت به ارزش ادراک‌شده و نتیجه را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: پیشنهاد مبهم و قیمت بی‌پشتوانه. ۴–۶ ضعیف: اتکا به تخفیف و فشار. ۷–۹ متوسط: پیشنهاد نسبتاً روشن. ۱۰–۱۲ سالم: پیشنهاد و قیمت قابل دفاع. ۱۳–۱۵ پیشرفته: پیشنهاد، قیمت‌گذاری، کاهش ریسک و فوریت طراحی‌شده و منسجم.,۰ بحرانی: قیمت زیاد به نظر می‌رسد و اعتراض سریع. ۱ ضعیف: بیشتر دفاع از قیمت. ۲ متوسط: معمولاً قیمت کنار ارزش توضیح داده می‌شود. ۳ پیشرفته: قیمت با ارزش، مقایسه و کاهش ریسک پشتیبانی می‌شود.,عارضهٔ پیشنهاد و قیمت. ضعف یعنی پیشنهاد مبهم، قیمت بدون پشتوانهٔ ارزش، گزینه‌های گیج‌کننده، نبود مسیر کم‌ریسک و نبود فوریت منطقی. نتیجه: اعتراض قیمت، تعویق تصمیم، اتکا به تخفیف و ریزش نزدیک خرید.
گزینه‌ها، پکیج‌ها یا پلن‌های خرید شما چقدر ساده و قابل انتخاب‌اند؟,3,طراحی پیشنهاد، قیمت‌گذاری و بسته‌بندی خرید,3,مشتری گیج می‌شود یا تفاوت گزینه‌ها را نمی‌فهمد.,چند گزینه داریم، اما تفاوت‌ها همیشه واضح نیست.,گزینه‌ها نسبتاً قابل فهم‌اند، اما هنوز می‌توانند بهتر بسته‌بندی شوند.,گزینه‌ها کم، روشن، مقایسه‌پذیر و متناسب با نیازهای مختلف مشتری‌اند.,بازطراحی پیشنهاد به‌صورت روشن (مشتری دقیقاً بداند چه می‌گیرد)، توجیه قیمت با ارزش/نتیجه/مقایسه/کاهش ریسک، ساده‌سازی پکیج‌ها، افزودن مسیر شروع کم‌ریسک (نمونه/دمو/ضمانت) و ساخت فوریت منطقی به‌جای فشار.,قابل‌انتخاب‌بودن و سادگی گزینه‌های خرید را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: پیشنهاد مبهم و قیمت بی‌پشتوانه. ۴–۶ ضعیف: اتکا به تخفیف و فشار. ۷–۹ متوسط: پیشنهاد نسبتاً روشن. ۱۰–۱۲ سالم: پیشنهاد و قیمت قابل دفاع. ۱۳–۱۵ پیشرفته: پیشنهاد، قیمت‌گذاری، کاهش ریسک و فوریت طراحی‌شده و منسجم.,۰ بحرانی: مشتری گیج می‌شود. ۱ ضعیف: تفاوت‌ها همیشه واضح نیست. ۲ متوسط: نسبتاً قابل فهم. ۳ پیشرفته: گزینه‌ها کم، روشن و مقایسه‌پذیر.,عارضهٔ پیشنهاد و قیمت. ضعف یعنی پیشنهاد مبهم، قیمت بدون پشتوانهٔ ارزش، گزینه‌های گیج‌کننده، نبود مسیر کم‌ریسک و نبود فوریت منطقی. نتیجه: اعتراض قیمت، تعویق تصمیم، اتکا به تخفیف و ریزش نزدیک خرید.
آیا برای مشتری راهی وجود دارد که با ریسک کمتر خرید را شروع کند؟,3,طراحی پیشنهاد، قیمت‌گذاری و بسته‌بندی خرید,4,نه، مشتری باید مستقیم تصمیم کامل بگیرد.,گاهی تخفیف می‌دهیم، اما روش مشخصی برای کاهش ریسک نداریم.,بعضی پیشنهادها، نمونه‌ها یا ضمانت‌ها برای کاهش ریسک داریم.,مسیر شروع کم‌ریسک، ضمانت، نمونه، دمو یا گزینه آزمایشی مشخص و قابل ارائه داریم.,بازطراحی پیشنهاد به‌صورت روشن (مشتری دقیقاً بداند چه می‌گیرد)، توجیه قیمت با ارزش/نتیجه/مقایسه/کاهش ریسک، ساده‌سازی پکیج‌ها، افزودن مسیر شروع کم‌ریسک (نمونه/دمو/ضمانت) و ساخت فوریت منطقی به‌جای فشار.,وجود راه شروع کم‌ریسک برای کاهش ترس تصمیم را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: پیشنهاد مبهم و قیمت بی‌پشتوانه. ۴–۶ ضعیف: اتکا به تخفیف و فشار. ۷–۹ متوسط: پیشنهاد نسبتاً روشن. ۱۰–۱۲ سالم: پیشنهاد و قیمت قابل دفاع. ۱۳–۱۵ پیشرفته: پیشنهاد، قیمت‌گذاری، کاهش ریسک و فوریت طراحی‌شده و منسجم.,۰ بحرانی: تصمیم کامل و مستقیم لازم است. ۱ ضعیف: فقط تخفیف، بدون روش مشخص. ۲ متوسط: بعضی نمونه/ضمانت‌ها هست. ۳ پیشرفته: مسیر کم‌ریسک، ضمانت یا دمو مشخص و قابل ارائه.,عارضهٔ پیشنهاد و قیمت. ضعف یعنی پیشنهاد مبهم، قیمت بدون پشتوانهٔ ارزش، گزینه‌های گیج‌کننده، نبود مسیر کم‌ریسک و نبود فوریت منطقی. نتیجه: اعتراض قیمت، تعویق تصمیم، اتکا به تخفیف و ریزش نزدیک خرید.
بعد از دیدن پیشنهاد، مشتری معمولاً می‌داند چرا باید همین حالا اقدام کند؟,3,طراحی پیشنهاد، قیمت‌گذاری و بسته‌بندی خرید,5,نه، تصمیم‌گیری معمولاً عقب می‌افتد.,گاهی فوریت ایجاد می‌کنیم، اما بیشتر با تخفیف یا فشار.,دلیل نسبتاً منطقی برای اقدام به‌موقع وجود دارد.,فوریت تصمیم‌گیری با پیامد تأخیر، ظرفیت، زمان‌بندی یا ارزش فرصت به‌خوبی توضیح داده می‌شود.,بازطراحی پیشنهاد به‌صورت روشن (مشتری دقیقاً بداند چه می‌گیرد)، توجیه قیمت با ارزش/نتیجه/مقایسه/کاهش ریسک، ساده‌سازی پکیج‌ها، افزودن مسیر شروع کم‌ریسک (نمونه/دمو/ضمانت) و ساخت فوریت منطقی به‌جای فشار.,وجود فوریت منطقی برای تصمیم به‌موقع را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: پیشنهاد مبهم و قیمت بی‌پشتوانه. ۴–۶ ضعیف: اتکا به تخفیف و فشار. ۷–۹ متوسط: پیشنهاد نسبتاً روشن. ۱۰–۱۲ سالم: پیشنهاد و قیمت قابل دفاع. ۱۳–۱۵ پیشرفته: پیشنهاد، قیمت‌گذاری، کاهش ریسک و فوریت طراحی‌شده و منسجم.,۰ بحرانی: تصمیم عقب می‌افتد. ۱ ضعیف: فوریت با تخفیف/فشار. ۲ متوسط: دلیل نسبتاً منطقی برای اقدام. ۳ پیشرفته: فوریت با پیامد تأخیر/ظرفیت/ارزش فرصت توضیح داده می‌شود.,عارضهٔ پیشنهاد و قیمت. ضعف یعنی پیشنهاد مبهم، قیمت بدون پشتوانهٔ ارزش، گزینه‌های گیج‌کننده، نبود مسیر کم‌ریسک و نبود فوریت منطقی. نتیجه: اعتراض قیمت، تعویق تصمیم، اتکا به تخفیف و ریزش نزدیک خرید.
در یک ماه معمولی، آیا به اندازه کافی آدم جدید با کسب‌وکار شما آشنا می‌شود؟,4,تولید سرنخ,1,نه، ورودی جدید کم و اتفاقی است.,بعضی ماه‌ها ورودی داریم، اما قابل پیش‌بینی نیست.,معمولاً ورودی جدید داریم، ولی هنوز برای رشد کافی نیست.,جریان ورودی جدید منظم، قابل پیگیری و متناسب با هدف فروش است.,ساخت سیستم فعال و چندکاناله تولید سرنخ؛ طراحی محتوای جذب هدف‌دار که مخاطب را یک قدم به خرید نزدیک می‌کند، اتصال هر فعالیت به قدم بعدی، و مقایسهٔ کانال‌ها از نظر تعداد، کیفیت، هزینه و فروش نهایی.,کفایت و قابل‌پیش‌بینی‌بودن حجم ورودی جدید را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: ورودی اتفاقی و کم. ۴–۶ ضعیف: ورودی غیرقابل پیش‌بینی. ۷–۹ متوسط: ورودی هست ولی ناکافی/نامنظم. ۱۰–۱۲ سالم: جریان ورودی منظم. ۱۳–۱۵ پیشرفته: سیستم فعال، چندکاناله و داده‌محور تولید سرنخ.,۰ بحرانی: ورودی کم و اتفاقی. ۱ ضعیف: ورودی غیرقابل پیش‌بینی. ۲ متوسط: ورودی هست ولی برای رشد کافی نیست. ۳ پیشرفته: ورودی منظم و متناسب با هدف فروش.,عارضهٔ ورودی قیف. ضعف یعنی ورودی کم یا نامرتبط، محتوای جذب بدون اتصال به مسیر فروش، نبود شناخت کانال مؤثر و اتکا به شانس/معرفی. نتیجه: قیف کم‌ترافیک یا پر از لید بی‌کیفیت، CAC بالا و نوسان فروش.
آدم‌هایی که از تبلیغ، محتوا، پیج، سایت یا معرفی با شما آشنا می‌شوند، معمولاً به مشتری مناسب شما نزدیک هستند؟,4,تولید سرنخ,2,نه، خیلی از ورودی‌ها نامناسب‌اند.,بعضی ورودی‌ها مناسب‌اند، اما کیفیت کلی نوسان دارد.,بیشتر ورودی‌ها تا حدی به مشتری مناسب نزدیک‌اند.,کانال‌ها طوری مدیریت می‌شوند که ورودی‌ها عمدتاً با مشتری مناسب هم‌خوان باشند.,ساخت سیستم فعال و چندکاناله تولید سرنخ؛ طراحی محتوای جذب هدف‌دار که مخاطب را یک قدم به خرید نزدیک می‌کند، اتصال هر فعالیت به قدم بعدی، و مقایسهٔ کانال‌ها از نظر تعداد، کیفیت، هزینه و فروش نهایی.,کیفیت و تناسب ورودی‌ها با مشتری مناسب را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: ورودی اتفاقی و کم. ۴–۶ ضعیف: ورودی غیرقابل پیش‌بینی. ۷–۹ متوسط: ورودی هست ولی ناکافی/نامنظم. ۱۰–۱۲ سالم: جریان ورودی منظم. ۱۳–۱۵ پیشرفته: سیستم فعال، چندکاناله و داده‌محور تولید سرنخ.,۰ بحرانی: بیشتر ورودی‌ها نامناسب. ۱ ضعیف: کیفیت نوسانی. ۲ متوسط: بیشتر ورودی‌ها تا حدی مناسب. ۳ پیشرفته: کانال‌ها برای جذب مشتری مناسب مدیریت می‌شوند.,عارضهٔ ورودی قیف. ضعف یعنی ورودی کم یا نامرتبط، محتوای جذب بدون اتصال به مسیر فروش، نبود شناخت کانال مؤثر و اتکا به شانس/معرفی. نتیجه: قیف کم‌ترافیک یا پر از لید بی‌کیفیت، CAC بالا و نوسان فروش.
وقتی محتوا، استوری، تبلیغ یا پست منتشر می‌کنید، نتیجه‌اش فقط دیده‌شدن است یا آدم‌ها را یک قدم به خرید نزدیک‌تر می‌کند؟,4,تولید سرنخ,3,بیشتر فقط دیده می‌شویم و به مسیر فروش وصل نیست.,بعضی محتواها باعث پیام یا تعامل می‌شوند، اما مسیر مشخص نیست.,بیشتر فعالیت‌ها یک قدم بعدی برای مخاطب دارند.,هر فعالیت جذب، هدف، مخاطب، پیام و قدم بعدی مشخص دارد.,ساخت سیستم فعال و چندکاناله تولید سرنخ؛ طراحی محتوای جذب هدف‌دار که مخاطب را یک قدم به خرید نزدیک می‌کند، اتصال هر فعالیت به قدم بعدی، و مقایسهٔ کانال‌ها از نظر تعداد، کیفیت، هزینه و فروش نهایی.,اتصال فعالیت‌های جذب به مسیر فروش را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: ورودی اتفاقی و کم. ۴–۶ ضعیف: ورودی غیرقابل پیش‌بینی. ۷–۹ متوسط: ورودی هست ولی ناکافی/نامنظم. ۱۰–۱۲ سالم: جریان ورودی منظم. ۱۳–۱۵ پیشرفته: سیستم فعال، چندکاناله و داده‌محور تولید سرنخ.,۰ بحرانی: فقط دیده‌شدن، بدون اتصال. ۱ ضعیف: تعامل هست ولی مسیر نامشخص. ۲ متوسط: بیشتر فعالیت‌ها قدم بعدی دارند. ۳ پیشرفته: هر فعالیت هدف، مخاطب، پیام و قدم بعدی دارد.,عارضهٔ ورودی قیف. ضعف یعنی ورودی کم یا نامرتبط، محتوای جذب بدون اتصال به مسیر فروش، نبود شناخت کانال مؤثر و اتکا به شانس/معرفی. نتیجه: قیف کم‌ترافیک یا پر از لید بی‌کیفیت، CAC بالا و نوسان فروش.
آیا می‌دانید از بین روش‌های مختلف جذب مشتری، کدام روش برای شما بهتر و قابل‌تکرارتر است؟,4,تولید سرنخ,4,نه، دقیق نمی‌دانیم کدام روش واقعاً مشتری می‌آورد.,چند حدس داریم، اما داده مشخص نداریم.,تا حدی می‌دانیم کدام کانال بهتر است.,کانال‌ها را از نظر تعداد، کیفیت، هزینه و فروش نهایی مقایسه می‌کنیم.,ساخت سیستم فعال و چندکاناله تولید سرنخ؛ طراحی محتوای جذب هدف‌دار که مخاطب را یک قدم به خرید نزدیک می‌کند، اتصال هر فعالیت به قدم بعدی، و مقایسهٔ کانال‌ها از نظر تعداد، کیفیت، هزینه و فروش نهایی.,شناخت کانال مؤثر و قابل‌تکرار جذب را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: ورودی اتفاقی و کم. ۴–۶ ضعیف: ورودی غیرقابل پیش‌بینی. ۷–۹ متوسط: ورودی هست ولی ناکافی/نامنظم. ۱۰–۱۲ سالم: جریان ورودی منظم. ۱۳–۱۵ پیشرفته: سیستم فعال، چندکاناله و داده‌محور تولید سرنخ.,۰ بحرانی: کانال مؤثر مشخص نیست. ۱ ضعیف: حدس بدون داده. ۲ متوسط: شناخت نسبی. ۳ پیشرفته: مقایسهٔ کانال‌ها بر اساس تعداد، کیفیت، هزینه و فروش.,عارضهٔ ورودی قیف. ضعف یعنی ورودی کم یا نامرتبط، محتوای جذب بدون اتصال به مسیر فروش، نبود شناخت کانال مؤثر و اتکا به شانس/معرفی. نتیجه: قیف کم‌ترافیک یا پر از لید بی‌کیفیت، CAC بالا و نوسان فروش.
آیا برای جذب مشتری فقط منتظر معرفی یا اتفاقات بیرونی هستید یا سیستم فعال تولید سرنخ دارید؟,4,تولید سرنخ,5,بیشتر منتظر معرفی، شانس یا مراجعه اتفاقی هستیم.,گاهی کمپین یا محتوا اجرا می‌کنیم، اما پیوسته نیست.,چند فعالیت جذب منظم داریم.,سیستم فعال و چندکاناله برای تولید سرنخ مناسب داریم.,ساخت سیستم فعال و چندکاناله تولید سرنخ؛ طراحی محتوای جذب هدف‌دار که مخاطب را یک قدم به خرید نزدیک می‌کند، اتصال هر فعالیت به قدم بعدی، و مقایسهٔ کانال‌ها از نظر تعداد، کیفیت، هزینه و فروش نهایی.,فعال‌بودن سیستم تولید سرنخ در برابر اتکا به شانس را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: ورودی اتفاقی و کم. ۴–۶ ضعیف: ورودی غیرقابل پیش‌بینی. ۷–۹ متوسط: ورودی هست ولی ناکافی/نامنظم. ۱۰–۱۲ سالم: جریان ورودی منظم. ۱۳–۱۵ پیشرفته: سیستم فعال، چندکاناله و داده‌محور تولید سرنخ.,۰ بحرانی: انتظار معرفی/شانس. ۱ ضعیف: کمپین‌های پراکنده. ۲ متوسط: چند فعالیت منظم. ۳ پیشرفته: سیستم فعال و چندکاناله.,عارضهٔ ورودی قیف. ضعف یعنی ورودی کم یا نامرتبط، محتوای جذب بدون اتصال به مسیر فروش، نبود شناخت کانال مؤثر و اتکا به شانس/معرفی. نتیجه: قیف کم‌ترافیک یا پر از لید بی‌کیفیت، CAC بالا و نوسان فروش.
وقتی کسی امروز آماده خرید نیست، آیا راهی دارید که در ارتباط با شما بماند؟,5,پرورش سرنخ‌ها,1,نه، اگر نخرد معمولاً رها می‌شود.,گاهی بعداً پیگیری می‌کنیم، اما منظم نیست.,بعضی سرنخ‌ها با محتوا یا پیام پیگیری می‌شوند.,مسیر مشخصی برای نگه داشتن، آموزش و گرم‌کردن سرنخ‌های ناآماده داریم.,طراحی مسیر پرورش بر اساس مرحلهٔ تصمیم و نوع مشتری؛ ساخت محتوای مسئله‌محور (مشکل، پیامد، راه‌حل)، تفکیک سرنخ سرد/گرم/آماده، برنامهٔ منظم فعال‌سازی مجدد و شناخت طول چرخهٔ تصمیم برای کوتاه‌کردن آن.,وجود مسیر برای حفظ ارتباط با سرنخ ناآمادهٔ امروز را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: سرنخ ناآماده رها می‌شود. ۴–۶ ضعیف: پیگیری نامنظم. ۷–۹ متوسط: محتوای پرورشی پایه هست. ۱۰–۱۲ سالم: مسیر پرورش مشخص. ۱۳–۱۵ پیشرفته: پرورش هدف‌دار بر اساس مرحله و نوع مشتری.,۰ بحرانی: سرنخ ناآماده رها می‌شود. ۱ ضعیف: پیگیری نامنظم. ۲ متوسط: بعضی سرنخ‌ها پیگیری می‌شوند. ۳ پیشرفته: مسیر مشخص برای نگه‌داشتن و گرم‌کردن.,عارضهٔ پرورش و اعتمادسازی میانی. ضعف یعنی سرنخ ناآماده رها می‌شود، محتوای پرورشی و آموزشی وجود ندارد، سرنخ سرد/گرم تفکیک نمی‌شود و سرنخ‌های قبلی فعال نمی‌شوند. نتیجه: فاصلهٔ زیاد دیده‌شدن تا خرید، لید سرد باقی‌مانده و هدررفت فرصت.
آیا محتوایی دارید که قبل از فروش مستقیم، مشکل، پیامد و راه‌حل را برای مشتری روشن‌تر کند؟,5,پرورش سرنخ‌ها,2,نه، بیشتر محتواها معرفی محصول یا فروش مستقیم‌اند.,چند محتوای آموزشی داریم، اما به مسیر فروش وصل نیستند.,محتوای اعتمادساز و آموزشی وجود دارد.,محتوای پرورشی بر اساس نگرانی، مرحله تصمیم و نوع مشتری طراحی شده است.,طراحی مسیر پرورش بر اساس مرحلهٔ تصمیم و نوع مشتری؛ ساخت محتوای مسئله‌محور (مشکل، پیامد، راه‌حل)، تفکیک سرنخ سرد/گرم/آماده، برنامهٔ منظم فعال‌سازی مجدد و شناخت طول چرخهٔ تصمیم برای کوتاه‌کردن آن.,وجود محتوای پرورشی پیش از فروش مستقیم را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: سرنخ ناآماده رها می‌شود. ۴–۶ ضعیف: پیگیری نامنظم. ۷–۹ متوسط: محتوای پرورشی پایه هست. ۱۰–۱۲ سالم: مسیر پرورش مشخص. ۱۳–۱۵ پیشرفته: پرورش هدف‌دار بر اساس مرحله و نوع مشتری.,۰ بحرانی: بیشتر محتوا فروش مستقیم. ۱ ضعیف: محتوای آموزشی بدون اتصال به فروش. ۲ متوسط: محتوای اعتمادساز هست. ۳ پیشرفته: محتوای پرورشی بر اساس نگرانی و مرحلهٔ تصمیم.,عارضهٔ پرورش و اعتمادسازی میانی. ضعف یعنی سرنخ ناآماده رها می‌شود، محتوای پرورشی و آموزشی وجود ندارد، سرنخ سرد/گرم تفکیک نمی‌شود و سرنخ‌های قبلی فعال نمی‌شوند. نتیجه: فاصلهٔ زیاد دیده‌شدن تا خرید، لید سرد باقی‌مانده و هدررفت فرصت.
آیا سرنخ‌های سرد، گرم و آماده خرید را از هم جدا می‌کنید؟,5,پرورش سرنخ‌ها,3,نه، با همه تقریباً یکسان برخورد می‌کنیم.,به‌صورت ذهنی فرق می‌گذاریم، اما ثبت یا مسیر جدا نداریم.,تا حدی سرنخ‌ها را بر اساس آمادگی خرید تفکیک می‌کنیم.,برای هر سطح آمادگی، پیام، محتوا و پیگیری متفاوت داریم.,طراحی مسیر پرورش بر اساس مرحلهٔ تصمیم و نوع مشتری؛ ساخت محتوای مسئله‌محور (مشکل، پیامد، راه‌حل)، تفکیک سرنخ سرد/گرم/آماده، برنامهٔ منظم فعال‌سازی مجدد و شناخت طول چرخهٔ تصمیم برای کوتاه‌کردن آن.,تفکیک سرنخ بر اساس آمادگی خرید را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: سرنخ ناآماده رها می‌شود. ۴–۶ ضعیف: پیگیری نامنظم. ۷–۹ متوسط: محتوای پرورشی پایه هست. ۱۰–۱۲ سالم: مسیر پرورش مشخص. ۱۳–۱۵ پیشرفته: پرورش هدف‌دار بر اساس مرحله و نوع مشتری.,۰ بحرانی: برخورد یکسان با همه. ۱ ضعیف: تفکیک ذهنی بدون ثبت. ۲ متوسط: تفکیک نسبی. ۳ پیشرفته: برای هر سطح پیام و پیگیری متفاوت.,عارضهٔ پرورش و اعتمادسازی میانی. ضعف یعنی سرنخ ناآماده رها می‌شود، محتوای پرورشی و آموزشی وجود ندارد، سرنخ سرد/گرم تفکیک نمی‌شود و سرنخ‌های قبلی فعال نمی‌شوند. نتیجه: فاصلهٔ زیاد دیده‌شدن تا خرید، لید سرد باقی‌مانده و هدررفت فرصت.
آیا سرنخ‌هایی که قبلاً علاقه نشان داده‌اند ولی نخریده‌اند، دوباره فعال می‌شوند؟,5,پرورش سرنخ‌ها,4,نه، معمولاً فراموش می‌شوند.,گاهی به بعضی‌ها پیام می‌دهیم.,بعضی کمپین‌ها یا پیگیری‌ها برای فعال‌سازی مجدد داریم.,برنامه منظم برای فعال‌سازی دوباره سرنخ‌های قبلی داریم.,طراحی مسیر پرورش بر اساس مرحلهٔ تصمیم و نوع مشتری؛ ساخت محتوای مسئله‌محور (مشکل، پیامد، راه‌حل)، تفکیک سرنخ سرد/گرم/آماده، برنامهٔ منظم فعال‌سازی مجدد و شناخت طول چرخهٔ تصمیم برای کوتاه‌کردن آن.,بازفعال‌سازی سرنخ‌های علاقه‌مند نخریده را می‌سنجد.,جمع ۵ سؤال (۰ تا ۱۵). ۰–۳ بحرانی: سرنخ ناآماده رها می‌شود. ۴–۶ ضعیف: پیگیری نامنظم. ۷–۹ متوسط: محتوای پرورشی پایه هست. ۱۰–۱۲ سالم: مسیر پرورش مشخص. ۱۳–۱۵ پیشرفته: پرورش هدف‌دار بر اساس مرحله و نوع مشتری.,۰ بحرانی: فراموش می‌شوند. ۱ ضعیف: پیام موردی. ۲ متوسط: کمپین‌های گاه‌به‌گاه. ۳ پیشرفته: برنامهٔ منظم فعال‌سازی مجدد.,عارضهٔ پرورش و اعتمادسازی میانی. ضعف یعنی سرنخ ناآماده رها می‌شود، محتوای پرورشی و آموزشی وجود ندارد، سرنخ سرد/گرم تفکیک نمی‌شود و سرنخ‌های قبلی فعال نمی‌شوند. نتیجه: فاصلهٔ زیاد دیده‌شدن تا خرید، لید سرد باقی‌مانده و هدررفت فرصت.
